initial_slew_ns,final_load_fF,total_tp_ns,inv_tp_ns,and2_tp_ns,dff_tp_ns,final_slew_ns
0.005,0.0,0.12137571425372895,0.008736818407472563,0.027415434393322658,0.08522346145293373,0.006235443077342915
0.005,2.727272727272727,0.12650508204066246,0.008736818407472563,0.027415434393322658,0.09035282923986725,0.010430739553245907
0.005,5.454545454545454,0.13212519321013558,0.008736818407472563,0.027415434393322658,0.09597294040934036,0.01579751790419253
0.005,8.181818181818182,0.13799712507483275,0.008736818407472563,0.027415434393322658,0.10184487227403755,0.021591247595837946
0.005,10.909090909090908,0.14425193905994094,0.008736818407472563,0.027415434393322658,0.10809968625914572,0.0277379084165994
0.005,13.636363636363635,0.15050675304504912,0.008736818407472563,0.027415434393322658,0.11435450024425392,0.03388456923736085
0.005,16.363636363636363,0.15685406416857253,0.008736818407472563,0.027415434393322658,0.12070181136777731,0.04006162091411529
0.005,19.09090909090909,0.16332245630665015,0.008736818407472563,0.027415434393322658,0.12717020350585492,0.04627845496403121
0.005,21.818181818181817,0.16979084844472775,0.008736818407472563,0.027415434393322658,0.13363859564393255,0.05249528901394713
0.005,24.545454545454543,0.1762592405828054,0.008736818407472563,0.027415434393322658,0.1401069877820102,0.058712123063863045
0.005,27.27272727272727,0.18272763272088305,0.008736818407472563,0.027415434393322658,0.14657537992008782,0.06492895711377897
0.005,30.0,0.18919602485896064,0.008736818407472563,0.027415434393322658,0.15304377205816544,0.0711457911636949
0.01818181818181818,0.0,0.12762296049168514,0.013971969518183611,0.02842578978958784,0.08522520118391369,0.006235444213740773
0.01818181818181818,2.727272727272727,0.13275232849280716,0.013971969518183611,0.02842578978958784,0.09035456918503572,0.0104307384457202
0.01818181818181818,5.454545454545454,0.1383724388376217,0.013971969518183611,0.02842578978958784,0.09597467952985025,0.01579751754482136
0.01818181818181818,8.181818181818182,0.14424436942776553,0.013971969518183611,0.02842578978958784,0.10184661011999406,0.021591247421410942
0.01818181818181818,10.909090909090908,0.15049918355782102,0.013971969518183611,0.02842578978958784,0.10810142425004957,0.027737908834040665
0.01818181818181818,13.636363636363635,0.15675399768787654,0.013971969518183611,0.02842578978958784,0.11435623838010509,0.03388457024667039
0.01818181818181818,16.363636363636363,0.163101308893573,0.013971969518183611,0.02842578978958784,0.12070354958580154,0.04006162214126306
0.01818181818181818,19.09090909090909,0.16956970103165062,0.013971969518183611,0.02842578978958784,0.12717194172387916,0.04627845591940273
0.01818181818181818,21.818181818181817,0.17603809316972827,0.013971969518183611,0.02842578978958784,0.1336403338619568,0.0524952896975424
0.01818181818181818,24.545454545454543,0.1825064853078059,0.013971969518183611,0.02842578978958784,0.14010872600003443,0.05871212347568207
0.01818181818181818,27.27272727272727,0.1889748774458835,0.013971969518183611,0.02842578978958784,0.14657711813811206,0.06492895725382174
0.01818181818181818,30.0,0.19544326958396113,0.013971969518183611,0.02842578978958784,0.15304551027618968,0.07114579103196142
0.031363636363636364,0.0,0.13208965296768707,0.017278510653020003,0.029584574125435158,0.08522656818923191,0.0062354451066730324
0.031363636363636364,2.727272727272727,0.13721902113710915,0.017278510653020003,0.029584574125435158,0.09035593635865398,0.01043073757547443
0.031363636363636364,5.454545454545454,0.14283913083394267,0.017278510653020003,0.029584574125435158,0.09597604605548751,0.01579751726244305
0.031363636363636364,8.181818181818182,0.14871106042259757,0.017278510653020003,0.029584574125435158,0.10184797564414241,0.021591247284353753
0.031363636363636364,10.909090909090908,0.15496587466654643,0.017278510653020003,0.029584574125435158,0.10810278988809127,0.027737909162047956
0.031363636363636364,13.636363636363635,0.1612206889104953,0.017278510653020003,0.029584574125435158,0.11435760413204014,0.03388457103974216
0.031363636363636364,16.363636363636363,0.1675680001807598,0.017278510653020003,0.029584574125435158,0.12070491540230462,0.04006162310550268
0.031363636363636364,19.09090909090909,0.17403639231883739,0.017278510653020003,0.029584574125435158,0.12717330754038222,0.04627845667009233
0.031363636363636364,21.818181818181817,0.18050478445691504,0.017278510653020003,0.029584574125435158,0.13364169967845987,0.05249529023468199
0.031363636363636364,24.545454545454543,0.18697317659499266,0.017278510653020003,0.029584574125435158,0.1401100918165375,0.05871212379927164
0.031363636363636364,27.27272727272727,0.19344156873307028,0.017278510653020003,0.029584574125435158,0.14657848395461512,0.0649289573638613
0.031363636363636364,30.0,0.19990996087114793,0.017278510653020003,0.029584574125435158,0.15304687609269277,0.07114579092845097
0.04454545454545454,0.0,0.13628419283135346,0.020376347774894214,0.030679984623338683,0.08522786043312054,0.006235445950770886
0.04454545454545454,2.727272727272727,0.14141356115987125,0.020376347774894214,0.030679984623338683,0.09035722876163836,0.010430736752822339
0.04454545454545454,5.454545454545454,0.1470336702441618,0.020376347774894214,0.030679984623338683,0.09597733784592892,0.015797516995507986
0.04454545454545454,8.181818181818182,0.15290559888609917,0.020376347774894214,0.030679984623338683,0.10184926648786627,0.021591247154792204
0.04454545454545454,10.909090909090908,0.15916041323771257,0.020376347774894214,0.030679984623338683,0.10810408083947966,0.027737909472116542
0.04454545454545454,13.636363636363635,0.16541522758932592,0.020376347774894214,0.030679984623338683,0.11435889519109303,0.033884571789440876
0.04454545454545454,16.363636363636363,0.17176253892062723,0.020376347774894214,0.030679984623338683,0.12070620652239433,0.04006162401700808
