subtest,cell,arc,lut,side,q,expected,got,rel_jump
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],0.365616,0.00558495,0.00558495,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],1.5975422040816325,0.008753236682827209,0.008753236682827209,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],2.8294684081632653,0.011823641904314845,0.011823641904314845,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],4.061394612244897,0.014851389237893179,0.014851389237893179,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],5.29332081632653,0.017838744477368093,0.017838744477368093,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],6.525247020408163,0.020826099716843006,0.02082609971684301,1.665912964561346e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],7.7571732244897955,0.023810439197196557,0.023810439197196557,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],8.989099428571427,0.026775403401912916,0.026775403401912916,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],10.22102563265306,0.029740367606629275,0.029740367606629275,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],11.452951836734693,0.032705331811345634,0.032705331811345634,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],12.684878040816326,0.035670296016061996,0.035670296016061996,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],13.916804244897957,0.03863526022077835,0.03863526022077835,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],15.14873044897959,0.041600224425494714,0.041600224425494714,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],16.380656653061223,0.04455807821266187,0.044558078212661875,1.5572695641831866e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],17.612582857142854,0.04751573159564348,0.04751573159564347,1.4603361183527325e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],18.84450906122449,0.0504733849786251,0.050473384978625094,1.3747629382982278e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],20.07643526530612,0.05343103836160671,0.05343103836160671,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],21.30836146938775,0.05638869174458832,0.05638869174458832,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],22.540287673469386,0.059346345127569936,0.05934634512756994,1.169220090806181e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],23.772213877551017,0.06230399851055155,0.06230399851055155,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],25.004140081632652,0.06526165189353317,0.06526165189353317,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],26.236066285714283,0.06821930527651479,0.06821930527651479,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],27.467992489795915,0.07117695865949639,0.07117695865949639,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],28.69991869387755,0.07413461204247801,0.07413461204247801,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],29.93184489795918,0.07709226542545963,0.07709226542545962,1.8001530673959587e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],31.163771102040812,0.08004871927074148,0.08004871927074149,1.733667688158368e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],32.39569730612245,0.0830045226344606,0.08300452263446059,1.6719315246146455e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],33.62762351020408,0.0859603259981797,0.08596032599817971,1.6144410397080549e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],34.85954971428571,0.0889161293618988,0.08891612936189881,1.56077282124262e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],36.091475918367344,0.0918719327256179,0.0918719327256179,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],37.32340212244898,0.09482773608933702,0.09482773608933703,1.4634734920530235e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],38.55532832653061,0.09778353945305612,0.09778353945305612,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],39.787254530612245,0.10073934281677523,0.10073934281677524,1.3775936411512416e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],41.019180734693876,0.10369514618049433,0.10369514618049433,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],42.25110693877551,0.10665094954421343,0.10665094954421343,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],43.483033142857145,0.10960675290793255,0.10960675290793255,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],44.71495934693878,0.11256255627165165,0.11256255627165165,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],45.94688555102041,0.11551835963537074,0.11551835963537074,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],47.17881175510204,0.11847416299908986,0.11847416299908986,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],48.41073795918367,0.12142996636280895,0.12142996636280898,2.2857270282609394e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],49.64266416326531,0.12438576972652807,0.12438576972652808,1.115705425011709e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],50.87459036734694,0.12734157309024718,0.12734157309024718,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],52.10651657142857,0.13029737645396627,0.13029737645396627,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],53.3384427755102,0.1332531798176854,0.1332531798176854,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],54.570368979591834,0.13620898318140448,0.13620898318140448,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],55.802295183673465,0.1391647865451236,0.13916478654512357,1.9944395636772154e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],57.0342213877551,0.1421205899088427,0.14212058990884271,1.9529594996355958e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],58.266147591836734,0.1450763932725618,0.1450763932725618,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],59.498073795918366,0.14803219663628092,0.1480321966362809,1.8749688409897144e-16
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[0],60.73,0.150988,0.150988,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[-1],0.365616,0.0409686,0.0409686,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[-1],1.5975422040816325,0.051085035572124626,0.051085035572124626,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[-1],2.8294684081632653,0.0598710022383996,0.0598710022383996,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[-1],4.061394612244897,0.06792452219611307,0.06792452219611307,0.0
B_continuity_at_edges,INV_X1,A->ZN,cell_rise,x=idx1[-1],5.29332081632653,0.07487422399852205,0.07487422399852203,1.853480018449125e-16
