cell,arc,lut,input_slew_ns,output_load_fF,bilinear,linear_1d_nearest,linear_1d_row0,rel_error_nearest,rel_error_row0
INV_X1,A->ZN,cell_rise,0.06225219119038987,38.055536597516614,0.12791639345518555,0.13638114885384506,0.09658437178466495,0.0661741249109331,0.24494140918300292
INV_X1,A->ZN,cell_rise,0.011156242860749153,13.080958907120987,0.041402283381516594,0.04439036244097908,0.03662357194028168,0.07217184211623627,0.11542144661925327
INV_X1,A->ZN,cell_rise,0.09610763551673826,1.4234985547810768,0.03305578617954282,0.029900602343333943,0.008305628559481325,0.09545027363958211,0.7487390402887645
INV_X1,A->ZN,cell_rise,0.04202400001468197,51.875606206687955,0.15012293456980927,0.14957478686489636,0.12974334518930403,0.0036513255385239507,0.13575267122844875
INV_X1,A->ZN,cell_rise,0.0019029954547692114,19.595061755024947,0.052609412910632494,0.052275339273103114,0.052275339273103114,0.006350073476335327,0.006350073476335327
INV_X1,A->ZN,cell_rise,0.1751933362098888,14.28211286954678,0.11143590018531398,0.1183208759675183,0.039514474407609745,0.061784180598486164,0.6454062439312774
INV_X1,A->ZN,cell_rise,0.05829034400207983,3.637287471039767,0.0360501068979677,0.03134432860747761,0.013816332634958028,0.13053437826991232,0.6167464170338726
INV_X1,A->ZN,cell_rise,0.06624221801355995,1.470633289256187,0.02770995559213165,0.030188004758976948,0.008426850391634343,0.08942811758056188,0.6958908734582318
INV_X1,A->ZN,cell_rise,0.00226493778852152,0.5984799070752688,0.006692353421345611,0.0061838329633246425,0.0061838329633246425,0.07598529635315074,0.07598529635315074
INV_X1,A->ZN,cell_rise,0.011834762383120782,36.909977179208155,0.09897963472600585,0.10159266957778387,0.09383579125219674,0.02639972211466927,0.05196870536093847
INV_X1,A->ZN,cell_rise,0.007867156213900642,3.7585547479483217,0.0172659454200918,0.015607837303522684,0.014115469149223427,0.09603343901687718,0.18246763754982503
INV_X1,A->ZN,cell_rise,0.13634875106422742,1.028841265568069,0.037094362356378224,0.03615494256806462,0.007290642897554935,0.025325136453035062,0.803456848037682
INV_X1,A->ZN,cell_rise,0.03193592729294342,1.7472883367509968,0.021073614393703567,0.023776279953341545,0.009138356080701293,0.12824879060354677,0.5663602877999098
INV_X1,A->ZN,cell_rise,0.07996604965978875,7.0649913193383815,0.05598206134017609,0.05546577576870744,0.02213495081039362,0.009222339426399988,0.6046063635297357
INV_X1,A->ZN,cell_rise,0.011418913024704809,0.9026670874987817,0.011315697891163018,0.013667167263782929,0.006966146213606566,0.20780595198253643,0.3843820963931204
INV_X1,A->ZN,cell_rise,0.003766446108055822,29.17647222875773,0.07649162831648441,0.07693957274857545,0.07527873915816101,0.00585612363012673,0.015856495475623438
INV_X1,A->ZN,cell_rise,0.0201995004198336,17.669543795369158,0.05699452651899907,0.055395174450629185,0.04765248549460646,0.02806150285039638,0.1639111963019545
INV_X1,A->ZN,cell_rise,0.0016285004255720131,14.471214333927911,0.04017504456986832,0.03996959831932772,0.03996959831932772,0.005113777787683823,0.005113777787683823
INV_X1,A->ZN,cell_rise,0.08198912216025668,3.3299300544684227,0.0407270767449567,0.039900137491116754,0.013058157564397968,0.020304409742404335,0.6793740526438599
INV_X1,A->ZN,cell_rise,0.02999806724756587,9.034164574708448,0.04145017734223291,0.04723797737030011,0.026883864886646236,0.13963269638825168,0.3514173735692392
INV_X1,A->ZN,cell_rise,0.057384695858805276,7.24341761585309,0.04864735095108555,0.04266463394740858,0.0225676250484992,0.12298135225682756,0.5360975550099175
INV_X1,A->ZN,cell_rise,0.007237016532621708,10.137487883275188,0.03236126026259031,0.03110312476793329,0.029539311377914178,0.03887782751500044,0.0872014520379577
INV_X1,A->ZN,cell_rise,0.17082245173174357,0.5630196006289943,0.038627556315174776,0.04258965554768791,0.006092635604010043,0.10257183240340349,0.8422723002641366
INV_X1,A->ZN,cell_rise,0.11473190808393635,3.063901775746403,0.046122889094265665,0.049279997986131335,0.012401931301043036,0.06844993784784799,0.7311111349573951
INV_X1,A->ZN,cell_rise,0.06368250007283147,0.452297715211595,0.021426392039508895,0.023978738764911182,0.005807879363008597,0.11912162909629971,0.7289380614198023
INV_X1,A->ZN,cell_rise,0.0031863301764404315,4.569530541367718,0.01693500077881042,0.017585499079703908,0.01608359172307542,0.038411471566473704,0.05027511169649955
INV_X1,A->ZN,cell_rise,0.012869395659437628,1.9744302753789191,0.01526417577141366,0.017407438297057858,0.009714473354269991,0.1404112844178618,0.36357694645635585
INV_X1,A->ZN,cell_rise,0.0014695785911766105,0.7654618243776115,0.006749540715051928,0.006613279616142907,0.006613279616142907,0.02018820311805064,0.02018820311805064
INV_X1,A->ZN,cell_rise,0.002590494272567816,0.6203244195145571,0.006899257443159024,0.006240013015039547,0.006240013015039547,0.09555295385783186,0.09555295385783186
INV_X1,A->ZN,cell_rise,0.039047290837064624,7.375956132410285,0.04207182421328539,0.04307591703073483,0.022889023871381232,0.023866158319143394,0.4559536150525804
INV_X1,A->ZN,cell_rise,0.053592417889062695,0.8745931736627329,0.02188367179902984,0.019477091756216036,0.006893945291954851,0.10997149221185509,0.6849730997948672
INV_X1,A->ZN,cell_rise,0.16805082127031806,41.413471106817816,0.19060632070456673,0.20518857912975766,0.10464118077602824,0.07650459004343789,0.4510088627217222
INV_X1,A->ZN,cell_rise,0.006246078390246852,7.131823981378256,0.024604373301455026,0.023831394384306696,0.02229701644586057,0.0314163221179309,0.0937783225495935
INV_X1,A->ZN,cell_rise,0.007853512083464229,2.1538095940414683,0.013224592475693409,0.011660935898803022,0.010156957967464367,0.11823854532866417,0.2319643886091239
INV_X1,A->ZN,cell_rise,0.013057944339357707,7.500340893292015,0.02894325752460953,0.031030303300761564,0.023190650272296925,0.07210818527864342,0.19875465805538114
INV_X1,A->ZN,cell_rise,0.0031029632475664407,0.4108264622360142,0.006611964038311393,0.007377219200363528,0.005701222959331689,0.11573794981612921,0.13774138420938759
INV_X1,A->ZN,cell_rise,0.0022860444464761036,49.134785706959384,0.12369466086244435,0.12316719929224738,0.12316719929224738,0.0042642226149399755,0.0042642226149399755
INV_X1,A->ZN,cell_rise,0.013476483330910562,4.304484782497072,0.02153507481583055,0.023482767271916317,0.015440869915681861,0.0904427996068074,0.28298972500754005
INV_X1,A->ZN,cell_rise,0.0037600864744435523,19.998312044717263,0.054429389870116446,0.054871364406705925,0.05324347728294916,0.008120144973958963,0.02178809260947439
INV_X1,A->ZN,cell_rise,0.03648380373521247,0.5581064904287232,0.01688272085632599,0.017917972523456588,0.006079999991935872,0.06132019097755131,0.6398684759596861
INV_X1,A->ZN,cell_rise,0.01105785369933128,4.401398466340677,0.02049762936982966,0.023711644760495046,0.01567588042219417,0.1567993709260875,0.23523446836894182
INV_X1,A->ZN,cell_rise,0.08413995355028948,4.493453497276519,0.046438138433827145,0.045040411861822956,0.01589910895493832,0.030098677921723854,0.657628201922994
INV_X1,A->ZN,cell_rise,0.0426533150703683,44.19310378531227,0.13209156765257501,0.131203878028472,0.1113104500827253,0.006720259588695339,0.15732357438975855
